Indicador,"Agropecuario, pesca y minería",Industrias manufactureras,"Energía eléctrica, gas y agua",Construcción,"Comercio, alojamiento y suministro de comidas y bebidas","Transporte y almacenamiento, información y comunicaciones",Servicios financieros,Actividades profesionales y arrendamiento,Actividades de administración pública,"Salud, educación, act. inmobiliarias y otros servicios",Valor agregado a precios básicos,Impuestos menos subvenciones,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-03-31,25638.01621716319,45471.4528284548,12776.528760703071,19589.6912024828,56720.508272289095,33000.94886340256,21537.67775458515,29787.986719089866,21265.961572411576,113743.36529127102,379532.13748185313,46452.04054134322,425984.1780231963
2016-06-30,32038.08057396251,45778.87987016788,12613.091464380515,20425.67329822329,60138.65907732806,38373.25658371445,21567.393845893745,29035.3782990031,21037.13836998513,102436.65214915498,383444.2035318136,46553.63797772601,429997.8415095397
2016-09-30,22843.83593934857,46542.7028657429,12117.53138608587,21787.529022385574,56659.313686444,35030.070100867095,21657.458533260604,28807.531379013966,20704.275476597923,101987.69188657642,368137.9402763229,46547.58368465219,414685.5239609751
2016-12-31,39976.753601171135,51429.10864885631,9395.594434833944,22603.555366422745,57458.99608687365,38858.9625822161,22542.869957434086,30812.744662162462,20506.64418043297,112118.75900985896,405703.9885302624,50034.72237327789,455738.71090354025
2017-03-31,27551.638218424272,43894.96871828992,13012.844087283316,18648.955810045896,62092.23495936889,37119.17281314111,22354.218218193724,31404.679208990965,20942.877239147863,117581.5726106158,394603.1618835018,49224.136554141696,443827.29843764345
2017-06-30,34046.48567816327,43650.75803668177,12191.390743361806,19294.55213676175,62481.11174908977,41751.83059454313,22136.586290569157,31583.30579016354,20609.11225288873,104112.92528144138,391858.0585536643,48019.16897413212,439877.2275277964
2017-09-30,22550.78005333165,45122.48515583704,11130.767555594117,18920.349760861063,59926.32619891884,39206.45724033324,22322.489385716144,30275.917789779876,20460.55973430524,103470.71414599405,373386.8470206712,46767.47495502251,420154.32197569386
2017-12-31,26446.133344837395,48664.2698201144,8853.355528748147,20319.213918412894,61794.34515663864,43379.798183389736,23163.82669866891,31870.84247103267,20660.785417609717,114380.36221254218,399532.9327519947,51116.1200801587,450649.0528321534
2018-03-31,27047.290357163474,45542.229082294245,12176.810250358492,17254.80257405425,59167.51028780716,38832.65992056891,22635.423684675945,31283.0917295454,21055.208218620264,119278.40364439404,394273.4297494821,50091.82537404666,444365.2551235289
2018-06-30,27908.61969285289,51053.01017794527,11431.661242886034,17801.090481802203,57370.92253619648,40614.57659612392,22214.14934287152,32478.03735276825,20767.02656279367,106646.1784740648,388285.272460305,48828.333921046666,437113.6063813517
2018-09-30,22239.07833109721,46504.964964288985,11914.463136031767,18626.22662013571,55942.7712639261,38822.445400872,22349.8470383305,31290.805099198777,20782.98048399127,105735.4304153662,374209.01275323855,48561.59967242123,422770.6124256597
